r,xp,yp,theta,theta_dot,Time(s),x(cm),y(cm),theta(deg),theta(rad)
0.1,36.8,263,1.52,0.000809,0.00,200,200,5,0.087266463
0.2,164,216,1.52,0.000809,0.33,200,200,350,6.108652382
0.3,186,212,1.54,0.000809,0.67,200,200,260,4.537856055
0.4,191,208,1.54,0.000809,1.00,200,190,200,3.490658504
0.5,192,209,1.54,0.000809,1.33,200,190,120,2.094395102
0.6,191,208,1.55,0.000809,1.67,200,190,50,0.872664626
0.7,195,206,1.55,0.000809,2.00,200,200,330,5.759586532
0.8,194,208,1.55,0.000809,2.33,200,190,250,4.36332313
0.9,194,210,1.55,0.000809,2.67,200,190,170,2.967059728
1,195,213,1.55,0.000809,3.00,200,190,170,2.967059728
1.1,193,214,1.55,0.000809,3.33,200,190,170,2.967059728
1.2,193,209,1.56,0.14,3.67,200,190,170,2.967059728
1.3,195,216,1.56,0.15,4.00,200,190,170,2.967059728
1.4,194,216,1.56,0.131,4.33,200,190,170,2.967059728
1.5,195,226,1.57,0.15,4.67,200,190,180,3.141592654
1.6,194,235,1.58,0.155,5.00,200,190,280,4.886921906
1.7,197,246,1.59,0.139,5.33,200,200,330,5.759586532
1.8,197,256,1.6,0.145,5.67,200,190,60,1.047197551
1.9,196,264,1.61,0.116,6.00,200,180,130,2.268928028
2,199,273,1.61,0.142,6.33,200,180,200,3.490658504
2.1,199,282,1.63,0.151,6.67,200,190,290,5.061454831
2.2,200,296,1.63,0.142,7.00,200,190,10,0.174532925
2.3,199,307,1.64,0.156,7.33,200,190,60,1.047197551
2.4,201,320,1.65,0.153,7.67,200,190,60,1.047197551
2.5,200,334,1.66,0.134,,,,,
2.6,199,345,1.66,0.159,,,,,
2.7,201,358,1.67,0.143,,,,,
2.8,200,371,1.68,0.153,,,,,
2.9,202,382,1.69,0.139,,,,,
3,202,395,1.7,0.146,,,,,
